Week,IndexAtClose
2011-07-15,225.09
2011-07-22,227.26
2011-07-29,211.15
2011-08-05,188.42
2011-08-12,188.47
2011-08-19,166.96
2011-08-26,176.76
2011-09-02,176.71
2011-09-09,171.12
2011-09-16,180.21
2011-09-23,162.86
2011-09-30,161.70
2011-10-07,174.12
2011-10-14,191.07
2011-10-21,196.67
2011-10-28,202.66
2011-11-04,193.19
2011-11-11,189.43
2011-11-18,175.51
2011-11-25,166.98
2011-12-02,185.39
2011-12-09,186.03
2011-12-16,173.08
2011-12-23,183.58
2011-12-30,181.94
2012-01-06,193.58
2012-01-13,199.82
2012-01-20,201.85
2012-01-27,200.48
2012-02-03,210.42
2012-02-10,206.40
2012-02-17,215.10
2012-02-24,208.42
2012-03-02,211.48
2012-03-09,208.34
2012-03-16,210.04
2012-03-23,206.55
2012-03-30,208.44
2012-04-06,206.05
2012-04-13,200.71
2012-04-20,197.88
2012-04-27,202.44
2012-05-04,192.86
2012-05-11,190.92
2012-05-18,178.58
2012-05-25,186.89
2012-06-01,178.55
2012-06-08,184.87
2012-06-15,180.24
2012-06-22,178.14
2012-06-29,173.15
2012-07-06,172.39
2012-07-13,169.74
2012-07-20,167.28
2012-07-27,167.19
2012-08-03,166.98
2012-08-10,173.75
2012-08-17,179.54
2012-08-24,176.07
2012-08-31,175.76
2012-09-07,185.68
2012-09-14,192.27
2012-09-21,186.84
2012-09-28,178.16
2012-10-05,185.51
2012-10-12,180.16
2012-10-19,182.47
2012-10-26,181.29
2012-11-02,191.89
2012-11-09,187.54
2012-11-16,182.69
2012-11-23,193.37
2012-11-30,197.24
2012-12-07,197.24
2012-12-14,194.41
2012-12-21,204.95
2012-12-28,209.94
2013-01-04,220.94
2013-01-11,223.65
2013-01-18,224.49
2013-01-25,224.49
2013-02-01,219.96
2013-02-08,222.33
2013-02-15,222.99
2013-02-22,216.02
2013-03-01,216.47
2013-03-08,225.25
2013-03-15,230.04
2013-03-22,226.68
2013-03-29,227.24
2013-04-05,218.01
2013-04-12,229.60
2013-04-19,221.10
2013-04-26,234.52
2013-05-03,239.66
2013-05-10,246.24
2013-05-17,260.03
2013-05-24,255.06
2013-05-31,260.33
2013-06-07,263.01
2013-06-14,262.09
2013-06-21,252.78
2013-06-28,261.49
2013-07-05,273.12
2013-07-12,281.68
2013-07-19,282.65
2013-07-26,284.83
2013-08-02,293.60
2013-08-09,291.19
2013-08-16,282.94
2013-08-23,288.85
2013-08-30,284.27
2013-09-06,293.90
2013-09-13,298.47
2013-09-20,303.71
2013-09-27,302.50
2013-10-04,301.65
2013-10-11,300.96
2013-10-18,307.71
2013-10-25,306.31
2013-11-01,303.33
2013-11-08,300.35
2013-11-15,308.96
2013-11-22,307.63
2013-11-29,311.16
2013-12-06,311.55
2013-12-13,310.81
2013-12-20,306.82
2013-12-27,309.28
2014-01-03,306.78
2014-01-10,313.97
2014-01-17,314.06
2014-01-24,301.13
2014-01-31,295.31
2014-02-07,298.17
2014-02-14,308.11
2014-02-21,313.16
2014-02-28,317.13
2014-03-07,321.37
2014-03-14,307.17
2014-03-21,312.80
2014-03-28,308.54
2014-04-04,315.08
2014-04-11,302.15
2014-04-18,311.94
2014-04-25,309.21
2014-05-02,314.17
2014-05-09,306.81
2014-05-16,308.02
2014-05-23,316.11
2014-05-30,319.88
2014-06-06,330.67
2014-06-13,322.31
2014-06-20,328.55
2014-06-27,332.48
2014-07-04,336.96
2014-07-11,336.01
2014-07-18,334.33
2014-07-25,330.02
2014-08-01,317.10
2014-08-08,323.12
2014-08-15,325.64
2014-08-22,328.20
2014-08-29,332.08
2014-09-05,332.13
2014-09-12,324.75
2014-09-19,319.66
2014-09-26,311.61
2014-10-03,303.94
2014-10-10,284.71
2014-10-17,287.63
2014-10-24,295.37
2014-10-31,306.29
2014-11-07,309.91
2014-11-14,318.16
2014-11-21,321.35
2014-11-28,325.39
2014-12-05,325.61
2014-12-12,307.92
2014-12-19,317.62
2014-12-26,324.02
2015-01-02,322.45
2015-01-09,317.11
2015-01-16,305.23
2015-01-23,311.87
2015-01-30,305.39
2015-02-06,326.75
2015-02-13,331.89
2015-02-20,336.79
2015-02-27,333.00
2015-03-06,326.93
2015-03-13,326.63
2015-03-20,335.28
2015-03-27,326.06
2015-04-03,329.93
2015-04-10,334.57
2015-04-17,331.87
2015-04-24,332.85
2015-05-01,332.45
2015-05-08,334.39
2015-05-15,336.28
2015-05-22,338.57
2015-05-29,336.68
2015-06-05,333.77
2015-06-12,337.15
2015-06-19,339.25
2015-06-26,337.53
2015-07-03,329.82
2015-07-10,315.79
2015-07-17,316.09
2015-07-24,309.19
2015-07-31,315.15
2015-08-07,313.95
2015-08-14,311.98
2015-08-21,292.94
2015-08-28,296.00
2015-09-04,289.34
2015-09-11,297.28
2015-09-18,302.27
2015-09-25,291.68
2015-10-02,301.55
2015-10-09,312.39
2015-10-16,313.09
2015-10-23,320.96
2015-10-30,316.11
2015-11-06,319.26
2015-11-13,304.68
2015-11-20,321.36
2015-11-27,322.80
2015-12-04,318.18
2015-12-11,301.61
2015-12-18,300.87
2015-12-25,311.02
2015-12-31,308.12
2016-01-08,272.36
2016-01-15,262.12
2016-01-22,263.19
2016-01-29,264.02
2016-02-05,252.20
2016-02-12,252.82
2016-02-19,263.37
2016-02-26,273.04
2016-03-04,289.79
2016-03-11,290.31
2016-03-18,299.53
2016-03-25,292.65
2016-04-01,296.28
2016-04-08,287.43
2016-04-15,297.97
2016-04-22,306.44
2016-04-29,301.72
2016-05-06,293.80
2016-05-13,289.14
2016-05-20,289.93
2016-05-27,297.33
2016-06-03,291.55
2016-06-10,290.05
2016-06-17,290.03
2016-06-24,274.73
2016-07-01,283.31
2016-07-08,286.75
2016-07-15,293.38
2016-07-22,300.44
2016-07-29,298.16
2016-08-05,293.67
2016-08-12,293.83
2016-08-19,296.65
2016-08-26,295.64
2016-09-02,296.69
2016-09-09,287.41
2016-09-16,289.75
2016-09-23,293.32
2016-09-30,295.33
2016-10-07,292.87
2016-10-14,285.32
2016-10-21,285.47
2016-10-28,281.80
2016-11-04,277.86
2016-11-11,291.51
2016-11-18,290.52
2016-11-25,299.32
2016-12-02,297.31
2016-12-09,318.69
2016-12-16,310.78
2016-12-23,309.51
2016-12-30,305.52
2017-01-06,316.12
2017-01-13,321.66
2017-01-20,320.76
2017-01-27,323.21
2017-02-03,321.74
2017-02-10,323.85
2017-02-17,330.77
2017-02-24,326.29
2017-03-03,330.30
2017-03-10,324.90
2017-03-17,331.11
2017-03-24,318.58
2017-03-31,324.69
2017-04-07,316.36
2017-04-14,313.32
2017-04-21,319.42
2017-04-28,328.02
2017-05-05,325.65
2017-05-12,325.53
2017-05-19,318.59
2017-05-26,324.34
2017-06-02,336.31
2017-06-09,334.20
2017-06-16,334.42
2017-06-23,335.05
2017-06-30,337.03
2017-07-07,329.80
2017-07-14,338.95
2017-07-21,335.40
2017-07-28,334.00
2017-08-04,335.73
2017-08-11,332.11
2017-08-18,327.90
2017-08-25,333.15
2017-09-01,344.97
2017-09-08,341.83
2017-09-15,361.05
2017-09-22,361.32
2017-09-29,363.29
2017-10-06,377.15
2017-10-13,375.85
2017-10-20,373.88
2017-10-27,366.92
2017-11-03,360.18
2017-11-10,355.78
2017-11-17,361.60
2017-11-24,365.86
2017-12-01,369.84
2017-12-08,369.46
2017-12-15,369.09
2017-12-22,371.51
2017-12-29,365.89
2018-01-05,385.30
2018-01-12,394.31
2018-01-19,387.14
2018-01-26,387.34
2018-02-02,370.30
2018-02-09,355.97
2018-02-16,363.63
2018-02-23,365.68
2018-03-02,347.68
2018-03-09,354.64
2018-03-16,353.48
2018-03-23,331.86
2018-03-30,334.74
2018-04-06,344.53
2018-04-13,349.47
2018-04-20,341.46
2018-04-27,342.96
2018-05-04,341.55
2018-05-11,345.87
2018-05-18,347.79
2018-05-25,347.56
2018-06-01,359.01
2018-06-08,372.65
2018-06-15,377.51
2018-06-22,360.50
2018-06-29,349.29
2018-07-06,344.83
2018-07-13,347.44
2018-07-20,343.11
2018-07-27,333.68
2018-08-03,347.15
2018-08-10,341.05
2018-08-17,330.45
2018-08-24,329.21
2018-08-31,322.78
2018-09-07,309.45
2018-09-14,319.18
2018-09-21,326.51
2018-09-28,305.36
2018-10-05,297.98
2018-10-12,281.42
2018-10-19,279.89
2018-10-26,295.58
2018-11-02,313.59
2018-11-09,309.80
2018-11-16,309.94
2018-11-23,304.79
2018-11-30,315.16
2018-12-07,298.23
2018-12-14,293.74
2018-12-21,273.26
2018-12-28,278.06
2019-01-04,277.30
2019-01-11,303.07
2019-01-18,301.44
2019-01-25,302.27
2019-02-01,306.49
2019-02-08,297.97
2019-02-15,307.87
2019-02-22,310.83
2019-03-01,311.64
2019-03-08,298.60
2019-03-15,296.25
2019-03-22,286.38
2019-03-29,294.50
2019-04-05,309.29
2019-04-12,315.41
2019-04-19,318.25
2019-04-26,307.85
2019-05-03,305.76
2019-05-10,294.88
2019-05-17,281.51
2019-05-24,267.25
2019-05-31,257.04
2019-06-07,275.95
2019-06-14,280.58
2019-06-21,287.94
2019-06-28,294.75
2019-07-05,294.25
2019-07-12,299.08
2019-07-19,298.77
2019-07-26,295.12
2019-08-02,286.83
2019-08-09,285.85
2019-08-16,272.06
2019-08-23,264.16
2019-08-30,275.10
2019-09-06,286.73
2019-09-13,297.82
2019-09-20,287.80
2019-09-27,287.70
2019-10-04,274.83
2019-10-11,283.15
2019-10-18,293.12
2019-10-25,307.96
2019-11-01,310.12
2019-11-08,322.43
2019-11-15,316.52
2019-11-22,307.74
2019-11-29,310.32
2019-12-06,311.68
2019-12-13,318.41
2019-12-20,334.78
2019-12-27,337.40
2020-01-03,335.85
2020-01-10,336.27
2020-01-17,347.03
2020-01-24,351.52
2020-01-31,359.78
2020-02-07,377.43
2020-02-14,391.17
2020-02-21,410.09
2020-02-28,337.77
2020-03-06,332.85
2020-03-13,279.86
2020-03-20,213.19
2020-03-27,250.10
2020-04-03,223.08
2020-04-10,278.20
2020-04-17,310.95
2020-04-24,303.14
2020-05-01,298.71
2020-05-08,334.39
2020-05-15,320.77
2020-05-22,342.67
2020-05-29,350.03
2020-06-05,391.61
2020-06-12,382.16
2020-06-19,392.95
2020-06-26,373.75
2020-07-03,432.41
2020-07-10,502.07
2020-07-17,505.57
2020-07-24,489.33
2020-07-31,484.22
2020-08-07,497.95
2020-08-14,548.23
2020-08-21,627.62
2020-08-28,670.90
2020-09-04,645.09
2020-09-11,598.22
2020-09-18,673.62
2020-09-25,621.95
2020-10-02,641.64
2020-10-09,672.56
2020-10-16,683.46
2020-10-23,674.17
2020-10-30,625.64
2020-11-06,682.86
2020-11-13,676.76
2020-11-20,770.14
2020-11-27,884.82
2020-12-04,900.99
2020-12-11,903.62
2020-12-18,994.43
2020-12-25,961.78
2020-12-31,1009.42
2021-01-08,1209.78
2021-01-15,1165.96
2021-01-22,1208.31
2021-01-27,1205.37
