,umd_tree_cover_loss__ha
2002-12-22,1710229.0686051722
2002-12-29,2000009.8474293747
2003-01-05,1523337.2346033
2003-01-12,1012219.3721448355
2003-01-19,1477729.8615640004
2003-01-26,1146906.203587717
2003-02-02,1369249.9078590323
2003-02-09,1801659.9995896285
2003-02-16,1427350.6844486636
2003-02-23,1762737.2847427363
2003-03-02,1514588.8359163504
2003-03-09,1501966.6951351915
2003-03-16,1424595.9229697704
2003-03-23,1801545.9674788958
2003-03-30,1059514.2687812466
2003-04-06,1272684.277350388
2003-04-13,1707269.6675577054
2003-04-20,1575288.3101186252
2003-04-27,1583300.1372978128
2003-05-04,1840914.6350264843
2003-05-11,2158436.9051186666
2003-05-18,1399030.823346883
2003-05-25,1572190.5802130157
2003-06-01,1263362.3755567607
2003-06-08,1810766.5269805645
2003-06-15,1306765.2875325382
2003-06-22,1285536.2197887937
2003-06-29,1849506.5581317022
2003-07-06,1783244.0791817764
2003-07-13,1356506.5836104602
2003-07-20,1354944.8131790678
2003-07-27,1324625.0851125012
2003-08-03,1288256.8139838623
2003-08-10,1403783.987086849
2003-08-17,1082877.6872999533
2003-08-24,1697407.0174476537
2003-08-31,1436251.6216862753
2003-09-07,1490270.3096740374
2003-09-14,1406513.5711086015
2003-09-21,1490546.3984285544
2003-09-28,1347837.0354957995
2003-10-05,1633154.7458649387
2003-10-12,1462321.8394038526
2003-10-19,1068719.6965484275
2003-10-26,1492473.269387914
2003-11-02,1483422.6924426204
2003-11-09,1050125.358987252
2003-11-16,1605069.1919649336
2003-11-23,1396677.314016557
2003-11-30,1738993.8284357896
2003-12-07,1471329.6321340015
2003-12-14,1383627.6154153943
2003-12-21,1800363.4526063027
2003-12-28,904014.5156082056
2004-01-04,2602745.8047761796
2004-01-11,2475319.5699287965
2004-01-18,2336155.22043816
2004-01-25,2296241.5301746875
2004-02-01,2486668.341398241
2004-02-08,2230089.094663002
2004-02-15,2729120.56117338
2004-02-22,2739924.346893508
2004-02-29,2607326.7862654645
2004-03-07,2320423.4758569207
2004-03-14,2512606.5599269797
2004-03-21,2539539.5833547544
2004-03-28,2324720.292862142
2004-04-04,2788664.7145516668
2004-04-11,2991043.488417309
2004-04-18,2849819.562530555
2004-04-25,2435555.746515951
2004-05-02,2840904.7532966114
2004-05-09,3041389.659095969
2004-05-16,2602921.59435571
2004-05-23,3347687.85141742
2004-05-30,2880552.806129048
2004-06-06,2861308.5726265768
2004-06-13,2981658.837852765
2004-06-20,2900895.604597572
2004-06-27,2682464.9445625194
2004-07-04,2566260.9842890934
2004-07-11,2715540.8971507666
2004-07-18,2539797.6491748276
2004-07-25,2408841.4356513
2004-08-01,2394039.8127108547
2004-08-08,2438002.974206948
2004-08-15,2915044.5593321174
2004-08-22,2651542.0705249407
2004-08-29,2500059.2284119893
2004-09-05,2712726.1179087097
2004-09-12,2557722.69263376
2004-09-19,2461171.749038357
2004-09-26,2698013.405457268
2004-10-03,2604883.7505010804
2004-10-10,2912954.065538623
2004-10-17,2793834.414872064
2004-10-24,3166890.4916283977
2004-10-31,2665098.9191275886
2004-11-07,2511857.634376484
2004-11-14,2656446.9712552945
2004-11-21,2870084.380303114
2004-11-28,2515664.173687364
2004-12-05,2746945.4664010126
2004-12-12,2829124.8891237727
2004-12-19,2785803.023647384
2004-12-26,2879188.716076488
2005-01-02,2729180.167192111
2005-01-09,2609824.752055418
2005-01-16,2538046.780539294
2005-01-23,2530742.698743358
2005-01-30,2694157.0666285297
2005-02-06,2564950.0278894203
2005-02-13,2147496.4214580366
2005-02-20,2584811.8851849595
2005-02-27,2480660.0191885615
2005-03-06,2540652.767303488
2005-03-13,2267402.677069432
2005-03-20,2307707.7526155096
2005-03-27,2983753.95988156
2005-04-03,2982508.952887877
2005-04-10,2888643.4388652225
2005-04-17,2567751.552448013
2005-04-24,2847217.7699413793
2005-05-01,2582411.81266418
2005-05-08,2719072.329239166
2005-05-15,2815157.1963743297
2005-05-22,2532552.6899296823
2005-05-29,2765709.7133138897
2005-06-05,2606665.362134784
2005-06-12,3039252.0664969035
2005-06-19,2851196.671547484
2005-06-26,3068770.531208458
2005-07-03,2538745.7839122
2005-07-10,2722047.6639389447
2005-07-17,2957349.022063228
2005-07-24,2492395.338317525
2005-07-31,2530045.160755981
2005-08-07,2606802.838541023
2005-08-14,2772407.005258112
2005-08-21,2678659.1270912797
2005-08-28,2587686.845136516
2005-09-04,2469355.5355222546
2005-09-11,2618846.7316575754
2005-09-18,2454604.415128859
2005-09-25,2356896.424163083
2005-10-02,2691848.0442877873
2005-10-09,3135437.9543722174
2005-10-16,2714455.7830012487
2005-10-23,2684148.3365967493
2005-10-30,2641014.150060198
2005-11-06,2801686.171384681
2005-11-13,2700339.0629963498
2005-11-20,2627534.3945758156
2005-11-27,2630414.4032023116
2005-12-04,2675549.221324327
2005-12-11,2943897.5039737546
2005-12-18,2435547.5524198487
2005-12-25,2569695.568272276
2006-01-01,2740375.168568898
2006-01-08,2938076.366768286
2006-01-15,2657815.7499599704
2006-01-22,2968570.151475752
2006-01-29,2351781.153068361
2006-02-05,3015578.531383707
2006-02-12,3001119.7536106934
2006-02-19,2915707.8208071077
2006-02-26,2941519.99537983
2006-03-05,2426355.895920681
2006-03-12,2660707.7516576
2006-03-19,2933409.8941008123
2006-03-26,2584051.3482608018
2006-04-02,2793177.022814141
2006-04-09,2861911.759228399
2006-04-16,2586560.730179812
2006-04-23,2359297.282963168
2006-04-30,2682443.7338645435
2006-05-07,2605098.48995115
2006-05-14,2558559.4895562935
2006-05-21,2911440.6648597796
2006-05-28,2896395.2456017914
2006-06-04,2806319.9552167812
2006-06-11,2854103.240022407
2006-06-18,2722566.6692171167
2006-06-25,2734419.2286147927
2006-07-02,2771120.814505617
2006-07-09,2897560.086693515
2006-07-16,2563242.7107580756
2006-07-23,2429500.224355032
2006-07-30,2694532.454955993
2006-08-06,2755633.2585615213
2006-08-13,2834829.6012229375
2006-08-20,2638045.115108451
2006-08-27,2895635.1424997146
2006-09-03,2759528.981642548
2006-09-10,2671622.884436091
2006-09-17,2738919.1300241533
2006-09-24,3018367.5909577967
2006-10-01,2127626.6824248955
2006-10-08,2148548.0971633224
2006-10-15,2031194.0283957904
2006-10-22,2110576.587308272
2006-10-29,2209213.2876887135
2006-11-05,2179788.8998660287
2006-11-12,2255394.070388064
2006-11-19,2035796.9005932028
2006-11-26,2033476.350758723
2006-12-03,2444816.3982975404
2006-12-10,1797861.973213154
2006-12-17,2065023.2738825006
2006-12-24,2029352.319927171
2006-12-31,1964675.7461695627
2007-01-07,2988811.501763996
2007-01-14,2709715.0151073877
2007-01-21,2755075.7452035905
2007-01-28,2938332.730193632
2007-02-04,2771234.120785374
2007-02-11,2875240.2819446716
2007-02-18,2459410.8380092112
2007-02-25,2458102.386127994
2007-03-04,2846530.72563042
2007-03-11,2694118.580835424
2007-03-18,2675984.037700845
2007-03-25,2563255.2848302554
2007-04-01,2149733.5268740924
2007-04-08,2131819.974367085
2007-04-15,2306294.385291231
2007-04-22,2323015.7535069715
2007-04-29,2393010.7813146114
2007-05-06,2434013.5877059363
2007-05-13,2072546.8103397586
2007-05-20,2006537.8902824312
2007-05-27,2284865.858755443
2007-06-03,2193380.5268088556
2007-06-10,2177168.949034729
2007-06-17,2102317.392146327
2007-06-24,2339951.164754662
2007-07-01,2573740.9773862716
2007-07-08,2480901.7434555343
2007-07-15,2282509.892802122
2007-07-22,2395618.270385491
2007-07-29,2600301.8219145737
2007-08-05,2458530.8429691694
2007-08-12,2395958.1340347007
2007-08-19,2520649.7701135743
2007-08-26,2492254.062476442
2007-09-02,2515134.751381605
2007-09-09,2643176.550528684
2007-09-16,2482964.781920984
2007-09-23,2760999.5828909175
2007-09-30,2691377.7264120393
2007-10-07,2252641.7397734937
2007-10-14,2456303.2053465177
2007-10-21,2488953.4687964506
2007-10-28,2093861.791629903
2007-11-04,2081219.2859777282
2007-11-11,2230812.888691044
2007-11-18,2023057.5804607254
2007-11-25,2274789.840049645
2007-12-02,1959972.9541706452
2007-12-09,1848314.8827939508
2007-12-16,2020039.5726312795
2007-12-23,2072058.1744273563
2007-12-30,1881169.2974367817
2008-01-06,2147390.6463186354
2008-01-13,2207614.2334847776
2008-01-20,2118038.154441399
2008-01-27,2244786.6703558667
2008-02-03,1799968.2046415494
2008-02-10,2079661.9664124642
2008-02-17,2347472.3058417276
2008-02-24,2203551.91175667
2008-03-02,1889651.7969336386
2008-03-09,2121310.569513414
2008-03-16,2257394.2265738007
2008-03-23,2087592.6908620482
2008-03-30,2198134.2289236444
2008-04-06,2067186.8421358254
2008-04-13,2072373.348413668
2008-04-20,2361871.957991719
2008-04-27,2317924.7991190623
2008-05-04,2266536.4996252516
2008-05-11,2220045.1945363875
2008-05-18,2173249.6625240156
2008-05-25,2274677.0570490714
2008-06-01,1485499.6883086534
2008-06-08,2119222.4690911057
2008-06-15,2000189.907469218
2008-06-22,2322132.8032802087
2008-06-29,2472974.4028041335
2008-07-06,1944560.493740884
2008-07-13,2202284.0036684717
2008-07-20,2080831.413639063
2008-07-27,2302442.168086671
2008-08-03,2220214.1619099895
2008-08-10,1889334.072412214
2008-08-17,1931803.4466827386
2008-08-24,2238748.03016291
2008-08-31,2394353.162637938
2008-09-07,2312866.8491158746
2008-09-14,1968481.0728204802
2008-09-21,1983225.554790305
2008-09-28,2115295.971698058
2008-10-05,2636520.936638704
2008-10-12,2241358.268285648
2008-10-19,2272975.5224047396
2008-10-26,2458393.704292057
2008-11-02,2169550.693991964
2008-11-09,2399889.278625326
2008-11-16,2385524.1366402516
2008-11-23,2344028.95375022
2008-11-30,2254337.4269420854
2008-12-07,2031384.8674556133
2008-12-14,2397440.2184249396
2008-12-21,2535053.2438656706
2008-12-28,2044910.6114556068
