Date,U.S. Natural Gas Residential Consumption (MMcf)
2003-09-14,14303.133544431897
2003-09-21,-118654.20319026025
2003-09-28,245628.7494869202
2003-10-05,357861.5448365361
2003-10-12,317768.04344316595
2003-10-19,198456.2170666431
2003-10-26,442053.32695994736
2003-11-02,250369.9801250769
2003-11-09,395839.57511870837
2003-11-16,698670.0663374295
2003-11-23,673320.1065480202
2003-11-30,463011.17127667286
2003-12-07,943077.4589781879
2003-12-14,550480.5298654669
2003-12-21,638720.3789751217
2003-12-28,505241.36060492735
2004-01-04,880208.9458941816
2004-01-11,742646.2870592099
2004-01-18,987923.2230855431
2004-01-25,928741.4243197545
2004-02-01,805123.615448273
2004-02-08,1058302.150887977
2004-02-15,1061490.7120583525
2004-02-22,1135834.9445955076
2004-02-29,560469.0957986593
2004-03-07,696286.6085775569
2004-03-14,412848.83649802697
2004-03-21,519200.629809774
2004-03-28,552573.1727747998
2004-04-04,323736.0048760302
2004-04-11,517588.75704580185
2004-04-18,557009.204872138
2004-04-25,334008.4740678334
2004-05-02,274023.8362188169
2004-05-09,55715.46761048486
2004-05-16,289359.1989799112
2004-05-23,273368.1961016591
2004-05-30,328985.91791394167
2004-06-06,46807.82256841277
2004-06-13,-180775.5686657722
2004-06-20,387477.42189471476
2004-06-27,109219.47774336651
2004-07-04,-49537.83681790423
2004-07-11,21631.45192406219
2004-07-18,105503.66620916458
2004-07-25,-84396.87772461542
2004-08-01,445681.8606491211
2004-08-08,198347.17506680585
2004-08-15,97179.59467895853
2004-08-22,263950.8747949279
2004-08-29,265712.0864801815
2004-09-05,208935.73557918458
2004-09-12,79991.12956188168
2004-09-19,11783.064570782211
2004-09-26,178461.0887860526
2004-10-03,476090.5349699884
2004-10-10,126490.19978864453
2004-10-17,167091.0633090534
2004-10-24,127632.17571911949
2004-10-31,157118.567034956
2004-11-07,489484.36595813045
2004-11-14,161105.63408149884
2004-11-21,451149.5710594486
2004-11-28,506835.57799978426
2004-12-05,774639.1400152631
2004-12-12,964996.1603072898
2004-12-19,595760.0886154207
2004-12-26,764051.4678975072
2005-01-02,781890.2552205066
2005-01-09,1002693.5876907291
2005-01-16,681734.3667145232
2005-01-23,698372.7029125942
2005-01-30,938332.8318761758
2005-02-06,696437.2843773062
2005-02-13,881878.707665016
2005-02-20,964104.4986108767
2005-02-27,631562.9877114506
2005-03-06,495905.6526452459
2005-03-13,769709.2224917744
2005-03-20,799812.5956514264
2005-03-27,603274.7041722555
2005-04-03,587368.8664180347
2005-04-10,340470.5986762497
2005-04-17,485322.97200492834
2005-04-24,442169.6758258323
2005-05-01,508040.42590407917
2005-05-08,109675.22065276554
2005-05-15,30677.321048268146
2005-05-22,104500.91869921103
2005-05-29,210970.03483532224
2005-06-05,82504.4196509326
2005-06-12,66941.70846656972
2005-06-19,46511.80754604016
2005-06-26,-2913.655147644982
2005-07-03,171284.24620455844
2005-07-10,295086.17299254896
2005-07-17,16767.447294334095
2005-07-24,269689.2858980892
2005-07-31,214529.9120145698
2005-08-07,190824.86761310452
2005-08-14,341061.0652749011
2005-08-21,174487.46759436157
2005-08-28,-38490.04678967074
2005-09-04,325904.888136116
2005-09-11,42678.4978897166
2005-09-18,-29638.213890785526
2005-09-25,288473.9589881686
2005-10-02,98.89773755852366
2005-10-09,178133.10818744608
2005-10-16,342472.906177631
2005-10-23,167795.560008681
2005-10-30,231669.04592594283
2005-11-06,416703.6511739178
2005-11-13,482640.86934610555
2005-11-20,596689.3590191327
2005-11-27,318039.3848986933
2005-12-04,750523.315071977
2005-12-11,528048.4060734671
2005-12-18,677638.3594813783
2005-12-25,685865.067571838
2006-01-01,620486.5248483089
2006-01-08,758364.4872524409
2006-01-15,834707.5511980682
2006-01-22,756006.5082587345
2006-01-29,565028.5136562638
2006-02-05,847950.0440020233
2006-02-12,679689.2498230162
2006-02-19,618617.7235853809
2006-02-26,518901.53374109976
2006-03-05,380073.7861527549
2006-03-12,620903.613317084
2006-03-19,756087.0880970907
2006-03-26,555711.963606419
2006-04-02,319656.47642369726
2006-04-09,490305.0722931279
2006-04-16,47777.54453116545
2006-04-23,268237.6368062659
2006-04-30,261612.65075332124
2006-05-07,-16700.752623916283
2006-05-14,168440.0340695522
2006-05-21,141493.48024004378
2006-05-28,170734.9250489369
2006-06-04,168696.70570297728
2006-06-11,34556.999333735745
2006-06-18,-6414.867718798778
2006-06-25,271577.43648143933
2006-07-02,365642.20208278345
2006-07-09,144433.66921537026
2006-07-16,-28405.32284881157
2006-07-23,152831.65919823892
2006-07-30,109703.99811496558
2006-08-06,248089.04337170956
2006-08-13,351262.0831462288
2006-08-20,235666.7510804386
2006-08-27,-9051.445601773608
2006-09-03,204317.3567088405
2006-09-10,51838.71175680177
2006-09-17,173815.47624320473
2006-09-24,-235202.49257016304
2006-10-01,331108.455283932
2006-10-08,2342.750989093969
2006-10-15,726040.6124349486
2006-10-22,6823.254411804286
2006-10-29,181293.4933741961
2006-11-05,456145.228638106
2006-11-12,385257.2698026537
2006-11-19,547340.1196012357
2006-11-26,391845.0377353786
2006-12-03,561995.4905077248
2006-12-10,938196.0476550295
2006-12-17,476647.10831882514
2006-12-24,646664.5194871166
2006-12-31,679905.7737462491
2007-01-07,704263.2042093355
2007-01-14,891605.4068360834
2007-01-21,696215.9292522734
2007-01-28,730377.1934969843
2007-02-04,1091838.2079870752
2007-02-11,870046.4919339871
2007-02-18,959005.3591445272
2007-02-25,986582.2467610779
2007-03-04,682206.0237448448
2007-03-11,456714.0118707394
2007-03-18,264307.6873889189
2007-03-25,621351.4944640322
2007-04-01,465518.32987810357
2007-04-08,659604.9466251612
2007-04-15,456012.32433236844
2007-04-22,651903.8617685884
2007-04-29,543527.7746956195
2007-05-06,212294.24589242073
2007-05-13,183258.51970926914
2007-05-20,379008.23633352655
2007-05-27,206731.18322051328
2007-06-03,193103.1715932749
2007-06-10,234696.79066313352
2007-06-17,-534.6772764688067
2007-06-24,104354.50071863041
2007-07-01,319478.5117045159
2007-07-08,153009.96064208512
2007-07-15,-102188.25060028775
2007-07-22,-8988.681973441751
2007-07-29,79682.32523521483
2007-08-05,-5670.703435237883
2007-08-12,271967.89682501263
2007-08-19,228115.72096652782
2007-08-26,334999.4406442358
2007-09-02,136050.67122906522
2007-09-09,-134825.53108536068
2007-09-16,-17459.0152609981
2007-09-23,63007.21448145695
2007-09-30,272632.58922982076
2007-10-07,262394.68565669033
2007-10-14,270745.60652264615
2007-10-21,101668.64123467021
2007-10-28,148537.6605853348
2007-11-04,590465.028704243
2007-11-11,596908.0247575006
2007-11-18,374602.13480439427
2007-11-25,341144.1124836602
2007-12-02,848143.0101460274
2007-12-09,669533.1953491176
2007-12-16,726586.1744661867
2007-12-23,620978.626213697
2007-12-30,787745.8288446652
2008-01-06,854568.1454100206
2008-01-13,933013.3133842318
2008-01-20,950937.6465252652
2008-01-27,1203304.9509997487
2008-02-03,671350.3650558123
2008-02-10,732792.3771201955
2008-02-17,815660.3280202041
2008-02-24,718111.9325581465
2008-03-02,543001.2243867805
2008-03-09,710284.9211543745
2008-03-16,605742.5585148958
2008-03-23,764368.2872314203
2008-03-30,705736.0432582535
2008-04-06,461027.1816727567
2008-04-13,74447.90698863188
2008-04-20,276040.05540752417
2008-04-27,325627.3073397904
2008-05-04,169226.844647598
2008-05-11,124850.23083150941
2008-05-18,196274.2681227485
2008-05-25,341283.4563730308
2008-06-01,-93989.32156978469
2008-06-08,154554.2332431812
2008-06-15,41158.63213177328
2008-06-22,326074.6261851722
2008-06-29,83515.33247783591
2008-07-06,1125.5016126727714
2008-07-13,-85950.0196432244
2008-07-20,211830.65405557293
2008-07-27,3760.273297037653
2008-08-03,100001.3357953111
2008-08-10,253446.81660287242
2008-08-17,-153584.5598064133
2008-08-24,102866.85482545898
2008-08-31,86372.59407840337
2008-09-07,139534.6116776407
2008-09-14,54410.0450310137
2008-09-21,416546.6224285991
2008-09-28,160016.27649583053
2008-10-05,-14587.518187507027
2008-10-12,496669.7337659312
2008-10-19,294784.95456644706
2008-10-26,407020.95577100536
2008-11-02,481627.3825300243
2008-11-09,316587.7167388826
2008-11-16,391422.2978447264
2008-11-23,252306.23842491896
2008-11-30,433345.7099559626
2008-12-07,998993.45261548
2008-12-14,563512.0398838606
2008-12-21,754233.0514209534
2008-12-28,703496.4321340966
